LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
7.26564	7.24959	7.19742	7.11942	7.30621	7.47	7.08664	7.07243	7.15788	7.20831	7.39498	7.28378	6.4755	7.24751	7.34171			NP_248776.1;AAG03476.1	NP_248776.1;AAG03476.1		
7.87303	7.90108	7.9815	7.87046	7.96723	7.76133	8.11664	8.09307	8.15609	7.93549	7.40466	7.14956	7.54507	7.87021	7.90955			NP_248780.1;AAG03480.1	NP_248780.1;AAG03480.1		
6.63816	7.39396	6.98209	7.413	7.44895	7.50241	7.14507	7.00949	7.09304	7.12411	7.41288	7.48196	7.61507	7.59687	7.33756			NP_248782.1;AAG03482.1	NP_248782.1;AAG03482.1		
7.41931	7.51853	7.41223	7.35725	7.53596	7.48776	7.32652	7.27028	7.40137	7.37738	7.5992	7.56105	7.36564	7.53782	7.51991			NP_248784.1;AAG03484.1	NP_248784.1;AAG03484.1		
7.00009	6.26324	7.30064	7.61999	7.63022	7.68365	7.56267	7.59809	7.53331	7.52034	7.5323	7.73922	7.58187	7.32552	7.47001			NP_248790.1;AAG03490.1	NP_248790.1;AAG03490.1		
8.1068	8.21221	8.22673	7.85517	7.83098	7.86853	7.90048	7.96101	7.93484	7.99469	8.0825	8.13226	8.20553	8.11797	8.01544			NP_248792.1;AAG03492.1	NP_248792.1;AAG03492.1		
6.38009	6.77285	6.47872	6.74568	6.91901	6.86754	7.093	7.06254	6.98314	6.79253	6.53437	6.62414	6.42295	6.32105	6.68634			NP_248795.1;AAG03495.1	NP_248795.1;AAG03495.1		
6.34409	6.31275	6.747	6.46058	6.3241	6.43508	6.2497	6.30188	6.38251	6.26017	6.45689	6.01064	6.67299	6.47473	6.40134			NP_248797.1;AAG03497.1	NP_248797.1;AAG03497.1		
6.49449	6.49575	6.32983	6.37075	6.52868	6.66556	6.27535	6.17681	6.45276	6.72405	6.4786	6.56466	6.19978	6.19445	6.44925	+		NP_248801.1;AAG03501.1	NP_248801.1;AAG03501.1		
6.65514	6.86338	6.46296	7.5126	7.53656	7.65958	7.46973	7.4727	7.5035	7.61566	7.70393	7.71995	6.59194	6.93666	7.11025			NP_248804.1;AAG03504.1	NP_248804.1;AAG03504.1		
6.21113	6.86825	6.09039	6.84507	6.50169	6.35436	6.79198	6.77527	6.73191	6.84779	6.92639	7.07115	7.36178	7.0774	7.06636			NP_248805.1;AAG03505.1;1XEB	NP_248805.1;AAG03505.1;1XEB		
6.24113	6.4422	6.61657	7.73759	7.73006	7.84212	7.52804	7.5476	7.60623	7.37575	7.57036	7.39499	7.79835	7.71574	7.71093			NP_248806.1;AAG03506.1	NP_248806.1;AAG03506.1		
6.34661	7.02959	6.89321	7.02069	7.01022	7.12581	7.06703	7.10044	7.12516	6.95796	7.08372	7.07218	7.23124	6.98724	7.19385			NP_248808.1;AAG03508.1	NP_248808.1;AAG03508.1		
6.44436	6.28924	6.66468	7.00514	7.00992	7.10278	6.97499	6.44865	7.24581	7.00324	6.9731	7.13284	7.2199	6.61326	6.63864			NP_248810.1;AAG03510.1	NP_248810.1;AAG03510.1		
8.86013	8.84604	8.92429	8.76221	8.80125	8.80797	8.71694	8.7115	8.71894	8.67394	8.82852	8.7968	8.88899	8.90343	8.82123			NP_248812.1;AAG03512.1	NP_248812.1;AAG03512.1		
6.53321	6.55225	6.60619	6.71269	6.62251	6.31768	7.13593	6.98114	6.76433	6.54685	6.09634	6.42106	6.74687	6.76046	6.90073			NP_248813.1;AAG03513.1	NP_248813.1;AAG03513.1		
7.24758	7.00625	7.0023	7.08817	7.04759	7.13424	7.00975	7.05507	7.00411	6.92204	7.01544	6.99729	7.54492	7.13988	7.38607			NP_248814.1;AAG03514.1	NP_248814.1;AAG03514.1		
6.20358	6.65542	6.87506	7.09882	7.15327	7.14697	6.75582	6.79281	6.76069	6.91757	6.09364	7.03902	6.95183	6.23174	6.30354			NP_248815.1;AAG03515.1	NP_248815.1;AAG03515.1		
6.3002	6.91921	6.92617	7.73573	7.55047	7.87298	7.40565	7.47864	7.33323	7.39101	7.63414	7.59821	6.73284	6.67896	6.80268			NP_248816.1;AAG03516.1	NP_248816.1;AAG03516.1		
6.26462	6.50222	6.12324	7.42817	7.38945	7.48065	7.36141	7.41949	7.37414	7.09868	7.34108	7.15866	6.61303	6.4596	6.53864			NP_248817.1;AAG03517.1	NP_248817.1;AAG03517.1		
7.58776	7.72516	7.52684	8.13424	8.17464	8.16533	8.11893	7.99199	8.01397	7.98126	8.21336	8.11388	8.248	7.91341	8.01569			NP_248818.1;AAG03518.1	NP_248818.1;AAG03518.1		
8.23759	8.18261	8.15887	8.63769	8.63847	8.71788	8.53658	8.51203	8.49992	8.49805	8.5255	8.55798	7.99902	8.15033	8.2242			NP_248820.1;AAG03520.1	NP_248820.1;AAG03520.1		
6.4036	6.47143	6.36895	6.52038	6.36866	6.81766	6.3178	6.64831	6.47914	6.16915	6.82837	6.44781	6.66099	6.43479	6.47186			NP_248821.1;AAG03521.1	NP_248821.1;AAG03521.1		
7.76724	7.74794	7.74266	8.12346	8.04423	8.11681	7.85843	7.92834	7.76271	7.96483	7.97799	8.0389	7.19984	7.65659	7.72822			NP_248822.1;AAG03522.1	NP_248822.1;AAG03522.1		
6.64747	6.45162	6.4004	6.04356	6.4906	6.22017	6.56444	6.66845	6.54873	6.37761	6.55124	6.17154	6.3945	6.67262	6.65754			NP_248824.1;AAG03524.1	NP_248824.1;AAG03524.1		
9.3387	9.2634	9.28928	9.6317	9.6134	9.67628	9.51958	9.52532	9.54979	9.57772	9.63949	9.69202	9.76565	9.58448	9.58604			NP_248829.1;AAG03529.1	NP_248829.1;AAG03529.1		
8.10449	8.11631	8.03044	7.77595	7.7846	7.72475	7.88439	7.89965	7.93902	7.96679	8.0881	8.14314	7.59489	7.70765	7.74603			NP_248830.1;AAG03530.1	NP_248830.1;AAG03530.1		
8.78816	8.77919	8.83011	8.88153	8.83959	8.87009	8.83983	8.84516	8.84276	8.67231	8.53324	8.34488	8.27944	8.6453	8.65076			NP_248831.1;AAG03531.1	NP_248831.1;AAG03531.1		
6.74798	6.03924	6.42651	6.86301	6.60501	6.65859	6.5518	6.49241	6.45323	6.4481	6.56341	6.56342	6.07019	6.26729	6.5			NP_248832.1;AAG03532.1	NP_248832.1;AAG03532.1		
8.3194	8.28735	8.47795	8.54278	8.54481	8.60793	8.46491	8.45005	8.52336	8.60356	8.6333	8.59387	8.59305	8.60193	8.55129			NP_248833.2;AAG03533.2	NP_248833.2;AAG03533.2		
6.6258	6.33322	6.54605	6.947	7.10978	6.38471	6.60582	6.61028	6.54142	6.57553	6.41169	6.52912	6.55851	6.37462	6.2617			NP_248834.1;AAG03534.1	NP_248834.1;AAG03534.1		
6.64889	6.69617	6.13377	6.65229	6.27587	6.42461	6.84432	6.36324	6.81231	6.8005	6.85194	6.90418	6.95149	6.79332	6.64924			NP_248835.1;AAG03535.1	NP_248835.1;AAG03535.1		
7.71804	7.64951	7.75746	7.83938	7.85235	7.88112	7.7461	7.74504	7.6913	7.75617	7.91312	7.91822	8.08636	8.06796	8.04634			NP_248838.1;AAG03538.1	NP_248838.1;AAG03538.1		
7.30745	7.38725	7.30086	7.17892	7.16456	7.10271	7.3424	7.41123	7.41343	7.2394	7.13226	7.13043	7.53691	7.38872	7.31222			NP_248845.1;AAG03545.1	NP_248845.1;AAG03545.1		
7.07817	7.20761	7.19282	7.71437	7.77096	7.84951	7.73506	7.68757	7.78219	7.66566	7.88112	7.76486	6.58157	7.07649	7.09426			NP_248846.1;AAG03546.1	NP_248846.1;AAG03546.1		
7.24812	7.09012	7.10988	7.07089	7.17164	7.0633	7.42459	7.48491	7.35896	7.46031	7.3594	7.30451	6.31068	7.03133	7.16661			NP_248847.1;AAG03547.1	NP_248847.1;AAG03547.1		
6.51128	6.21748	6.52586	7.36105	7.33658	7.05687	7.53876	7.36985	7.53911	7.42308	7.05003	6.92402	6.36261	6.51743	6.52415			NP_248848.1;AAG03548.1	NP_248848.1;AAG03548.1		
7.38277	7.30153	7.40983	7.46767	7.54042	7.56458	7.23068	7.38441	7.28425	7.28046	7.3138	7.34768	7.33155	7.29101	7.30391			NP_248849.1;AAG03549.1	NP_248849.1;AAG03549.1		
6.43604	6.32218	6.23954	7.44823	7.49181	7.61077	7.29358	7.25787	7.34416	7.49011	7.50416	7.66795	6.20445	6.93231	6.91212			NP_248852.1;AAG03552.1	NP_248852.1;AAG03552.1		
6.22718	6.48835	6.48141	7.33429	7.27607	7.4788	7.10312	7.07598	7.1823	7.29502	7.47104	7.38462	6.87372	6.38748	6.8866			NP_248855.1;AAG03555.1	NP_248855.1;AAG03555.1		
6.86443	6.79416	6.86551	6.79477	6.78292	6.72442	6.69773	7.09409	6.89927	6.99355	7.05042	6.77307	6.53086	6.56462	6.67505			NP_248857.1;AAG03557.1	NP_248857.1;AAG03557.1		
6.37816	6.24456	6.3229	7.30952	7.36541	7.35426	6.38778	6.61456	6.65959	6.64303	6.76379	6.8496	6.3543	6.83022	6.82705			NP_248860.1;AAG03560.1	NP_248860.1;AAG03560.1		
6.44831	6.30416	6.36176	6.74867	7.21854	6.68523	6.91503	7.09611	6.93523	6.92803	6.98929	6.25787	7.53089	7.09712	7.06606			NP_248861.1;AAG03561.1	NP_248861.1;AAG03561.1		
7.89819	7.89903	8.02078	7.72258	7.67877	7.80646	7.58819	7.57628	7.63092	7.58438	7.66332	7.55397	7.68885	7.7433	7.69751			NP_248863.1;AAG03563.1	NP_248863.1;AAG03563.1		
